"","YEAR","FIPS","GEOID","MedianIncome"
"1",2020,22001,220019601001,46847.7958448078
"2",2030,22001,220019601001,41507.49026765
"3",2040,22001,220019601001,38576.3846225301
"4",2050,22001,220019601001,34317.6721170747
"5",2060,22001,220019601001,32500.5544163117
"6",2070,22001,220019601001,31059.8274861493
"7",2020,22001,220019601002,35992.3332496307
"8",2030,22001,220019601002,35266.1541671505
"9",2040,22001,220019601002,35909.366937772
"10",2050,22001,220019601002,36845.8393623815
"11",2060,22001,220019601002,37532.9410051821
"12",2070,22001,220019601002,39215.5869987259
"13",2020,22001,220019601003,52813.0152488413
"14",2030,22001,220019601003,48206.6211864654
"15",2040,22001,220019601003,45301.3390040364
"16",2050,22001,220019601003,42416.8966648576
"17",2060,22001,220019601003,39457.1402939478
"18",2070,22001,220019601003,35860.8938975088
"19",2020,22001,220019601004,42840.899758162
"20",2030,22001,220019601004,40603.9235373079
"21",2040,22001,220019601004,38362.3203458741
"22",2050,22001,220019601004,35683.4262225316
"23",2060,22001,220019601004,34274.472372292
"24",2070,22001,220019601004,32942.4942331861
"25",2020,22001,220019601005,52203.7436247764
"26",2030,22001,220019601005,49027.1217396382
"27",2040,22001,220019601005,45188.3607204727
"28",2050,22001,220019601005,43067.6341014588
"29",2060,22001,220019601005,39793.5778752002
"30",2070,22001,220019601005,36824.4414177507
"31",2020,22001,220019602001,55080.6015900468
"32",2030,22001,220019602001,51961.437345493
"33",2040,22001,220019602001,48580.4388071734
"34",2050,22001,220019602001,45695.3100035795
"35",2060,22001,220019602001,42733.7050779181
"36",2070,22001,220019602001,40835.2893016474
"37",2020,22001,220019602002,57753.379901883
"38",2030,22001,220019602002,54750.958652903
"39",2040,22001,220019602002,52352.4631135503
"40",2050,22001,220019602002,50335.3652711615
"41",2060,22001,220019602002,47241.9342012597
"42",2070,22001,220019602002,45174.9208242513
"43",2020,22001,220019602003,60587.5540212924
"44",2030,22001,220019602003,58974.4955195568
"45",2040,22001,220019602003,57358.0754420704
"46",2050,22001,220019602003,55668.1223937521
"47",2060,22001,220019602003,53516.3839278531
"48",2070,22001,220019602003,51925.2104212711
"49",2020,22001,220019603001,56910.3782203659
"50",2030,22001,220019603001,54542.0081576195
"51",2040,22001,220019603001,51498.1295559086
"52",2050,22001,220019603001,48813.2397269761
"53",2060,22001,220019603001,45799.7110206123
"54",2070,22001,220019603001,43848.2093347054
"55",2020,22001,220019603002,59816.214310709
"56",2030,22001,220019603002,58118.8076266641
"57",2040,22001,220019603002,55901.273535599
"58",2050,22001,220019603002,54638.2483638484
"59",2060,22001,220019603002,52549.5332125342
"60",2070,22001,220019603002,50995.8380666422
"61",2020,22001,220019603003,58867.2104432526
"62",2030,22001,220019603003,56494.5764163004
"63",2040,22001,220019603003,55405.1719057863
"64",2050,22001,220019603003,54132.4805832919
"65",2060,22001,220019603003,52131.2088994098
"66",2070,22001,220019603003,50494.7805916635
"67",2020,22001,220019604001,60239.9964749253
"68",2030,22001,220019604001,57842.2495792453
"69",2040,22001,220019604001,55909.4857010675
"70",2050,22001,220019604001,54281.1689040823
"71",2060,22001,220019604001,51991.7162483785
"72",2070,22001,220019604001,50233.8076104299
"73",2020,22001,220019604002,58424.714795288
"74",2030,22001,220019604002,56888.0189505385
"75",2040,22001,220019604002,55471.3056470734
"76",2050,22001,220019604002,54624.1080005249
"77",2060,22001,220019604002,52636.9977282119
"78",2070,22001,220019604002,50890.7850732615
"79",2020,22001,220019604003,59097.3045426739
"80",2030,22001,220019604003,56615.7582328591
"81",2040,22001,220019604003,54037.9828672284
"82",2050,22001,220019604003,51642.8485817527
"83",2060,22001,220019604003,49091.6850148881
"84",2070,22001,220019604003,46508.9339763637
"85",2020,22001,220019604004,59878.8067335405
"86",2030,22001,220019604004,58073.763831158
"87",2040,22001,220019604004,55951.0462877069
"88",2050,22001,220019604004,54744.8421358388
"89",2060,22001,220019604004,53320.8677885477
"90",2070,22001,220019604004,51684.5590446799
"91",2020,22001,220019605001,58370.5827480329
"92",2030,22001,220019605001,57081.5839675449
"93",2040,22001,220019605001,55223.8693879276
"94",2050,22001,220019605001,53807.7498005844
"95",2060,22001,220019605001,52531.2591692289
"96",2070,22001,220019605001,50956.6189854636
"97",2020,22001,220019605002,56650.5262362019
"98",2030,22001,220019605002,56488.6128542264
"99",2040,22001,220019605002,54973.9056065983
"100",2050,22001,220019605002,54215.8631169388
"101",2060,22001,220019605002,52807.1334494683
"102",2070,22001,220019605002,51371.6384607553
"103",2020,22001,220019605003,59000.8128417395
"104",2030,22001,220019605003,56584.5766496426
"105",2040,22001,220019605003,54199.9182620538
"106",2050,22001,220019605003,52360.4339486615
"107",2060,22001,220019605003,50391.691708153
"108",2070,22001,220019605003,48280.9181202913
"109",2020,22001,220019606001,54151.0118870567
"110",2030,22001,220019606001,51316.7705651417
"111",2040,22001,220019606001,48480.173834126
"112",2050,22001,220019606001,46237.3062173935
"113",2060,22001,220019606001,43956.1513467822
"114",2070,22001,220019606001,42369.4157058042
"115",2020,22001,220019606002,53501.7680092656
"116",2030,22001,220019606002,52265.8599412946
"117",2040,22001,220019606002,51454.5441804864
"118",2050,22001,220019606002,50332.2695837935
"119",2060,22001,220019606002,48843.36895755
"120",2070,22001,220019606002,47864.9664135805
"121",2020,22001,220019606003,45851.5609110635
"122",2030,22001,220019606003,42830.3560874032
"123",2040,22001,220019606003,39217.6962965149
"124",2050,22001,220019606003,35739.9448823164
"125",2060,22001,220019606003,33378.9228312396
"126",2070,22001,220019606003,31937.3801645573
"127",2020,22001,220019606004,54526.4890675861
"128",2030,22001,220019606004,49532.5450818339
"129",2040,22001,220019606004,45584.192555096
"130",2050,22001,220019606004,43291.5888119313
"131",2060,22001,220019606004,40409.6881391894
"132",2070,22001,220019606004,36970.7798438482
"133",2020,22001,220019606005,50988.6121413744
"134",2030,22001,220019606005,47787.2576569908
"135",2040,22001,220019606005,44632.9836808089
"136",2050,22001,220019606005,42279.4524632086
"137",2060,22001,220019606005,39852.0804693175
"138",2070,22001,220019606005,36818.1415475357
"139",2020,22001,220019607001,39109.0065168146
"140",2030,22001,220019607001,38027.4629720315
"141",2040,22001,220019607001,38487.3079963179
"142",2050,22001,220019607001,37905.4449778648
"143",2060,22001,220019607001,38406.3411869156
"144",2070,22001,220019607001,38638.6234091458
"145",2020,22001,220019607002,33469.3813552468
"146",2030,22001,220019607002,32812.3861998073
"147",2040,22001,220019607002,32695.7921616566
"148",2050,22001,220019607002,32850.7429320835
"149",2060,22001,220019607002,33027.9291721429
"150",2070,22001,220019607002,33332.3749053767
"151",2020,22001,220019607003,46593.7945125498
"152",2030,22001,220019607003,43460.7500464891
"153",2040,22001,220019607003,40340.7579427447
"154",2050,22001,220019607003,37153.0099702753
"155",2060,22001,220019607003,34392.5407038845
"156",2070,22001,220019607003,32794.4923475938
"157",2020,22001,220019607004,48771.0370764966
"158",2030,22001,220019607004,45029.8466997236
"159",2040,22001,220019607004,42220.1878139202
"160",2050,22001,220019607004,38566.434085119
"161",2060,22001,220019607004,35285.5056732685
"162",2070,22001,220019607004,33391.3055151877
"163",2020,22001,220019608001,46988.988390056
"164",2030,22001,220019608001,42620.4036536002
"165",2040,22001,220019608001,39826.4299151956
"166",2050,22001,220019608001,37110.6459322243
"167",2060,22001,220019608001,34318.2369871387
"168",2070,22001,220019608001,31999.7974290477
"169",2020,22001,220019608002,50579.2633553919
"170",2030,22001,220019608002,48175.1190252723
"171",2040,22001,220019608002,45665.1423956776
"172",2050,22001,220019608002,42271.0149383911
"173",2060,22001,220019608002,34615.8647781191
"174",2070,22001,220019608002,25464.0667972556
"175",2020,22001,220019608003,54611.0708769798
"176",2030,22001,220019608003,52182.2224905309
"177",2040,22001,220019608003,50530.2824231726
"178",2050,22001,220019608003,48434.4377229769
"179",2060,22001,220019608003,45211.4101140202
"180",2070,22001,220019608003,42461.3843311013
"181",2020,22001,220019608004,48749.6093343214
"182",2030,22001,220019608004,44118.734665947
"183",2040,22001,220019608004,40808.2832896264
"184",2050,22001,220019608004,37560.3960809567
"185",2060,22001,220019608004,34338.6694644361
"186",2070,22001,220019608004,32577.3415706562
"187",2020,22001,220019609001,51374.715706212
"188",2030,22001,220019609001,47885.3432161686
"189",2040,22001,220019609001,44622.2268839356
"190",2050,22001,220019609001,40667.8806702065
"191",2060,22001,220019609001,36645.3809486342
"192",2070,22001,220019609001,33981.5135712186
"193",2020,22001,220019609002,32516.5937095635
"194",2030,22001,220019609002,30497.8172935582
"195",2040,22001,220019609002,30131.9234029729
"196",2050,22001,220019609002,29179.81334138
"197",2060,22001,220019609002,28071.7829172036
"198",2070,22001,220019609002,26357.4004530042
"199",2020,22001,220019609003,31805.3544832105
"200",2030,22001,220019609003,31750.8266753199
"201",2040,22001,220019609003,32448.9769814273
"202",2050,22001,220019609003,33353.4910665388
