"","YEAR","GEOID","A","B","C"
"1",1990,"220019601001",1366.02,1366.02,1366.02
"2",1990,"220019601002",1488.98,1488.98,1488.98
"3",1990,"220019601003",740,740,740
"4",1990,"220019601004",1153,1153,1153
"5",1990,"220019601005",1239,1239,1239
"6",1990,"220019602001",2007,2007,2007
"7",1990,"220019602002",1367,1367,1367
"8",1990,"220019602003",1298,1298,1298
"9",1990,"220019603001",846,846,846
"10",1990,"220019603002",1173,1173,1173
"11",1990,"220019603003",1100,1100,1100
"12",1990,"220019604001",1544,1544,1544
"13",1990,"220019604002",1446,1446,1446
"14",1990,"220019604003",945,945,945
"15",1990,"220019604004",1154,1154,1154
"16",1990,"220019605001",1661,1661,1661
"17",1990,"220019605002",790,790,790
"18",1990,"220019605003",1711,1711,1711
"19",1990,"220019606001",852,852,852
"20",1990,"220019606002",786,786,786
"21",1990,"220019606003",1427,1427,1427
"22",1990,"220019606004",606,606,606
"23",1990,"220019606005",1359,1359,1359
"24",1990,"220019607001",1386,1386,1386
"25",1990,"220019607002",1170,1170,1170
"26",1990,"220019607003",991,991,991
"27",1990,"220019607004",1183,1183,1183
"28",1990,"220019608001",1490,1490,1490
"29",1990,"220019608002",1335,1335,1335
"30",1990,"220019608003",1185,1185,1185
"31",1990,"220019608004",1063,1063,1063
"32",1990,"220019609001",1614,1614,1614
"33",1990,"220019609002",1601.6,1601.6,1601.6
"34",1990,"220019609003",2142.4,2142.4,2142.4
"35",1990,"220019610001",1176,1176,1176
"36",1990,"220019610002",842,842,842
"37",1990,"220019610003",640,640,640
"38",1990,"220019610004",706,706,706
"39",1990,"220019610005",739,739,739
"40",1990,"220019610006",813,813,813
"41",1990,"220019610007",1207,1207,1207
"42",1990,"220019611001",1182.12,1182.12,1182.12
"43",1990,"220019611002",1132,1132,1132
"44",1990,"220019611003",1150.88,1150.88,1150.88
"45",1990,"220019612001",1307,1307,1307
"46",1990,"220019612002",1124,1124,1124
"47",1990,"220019612003",643,643,643
"48",1990,"220039501001",1462,1462,1462
"49",1990,"220039501002",1048.08,1048.08,1048.08
"50",1990,"220039501003",1470.99,1470.99,1470.99
"51",1990,"220039502001",613,613,613
"52",1990,"220039502002",1248,1248,1248
